FL-experiment | INFO flwr 2024-05-02 12:14:17,493 | server.py:52 | PERUN REQUEST: Sharing model with peer_32, REQ=set,peer_32,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:17,636 | server.py:52 | PERUN REQUEST: Sharing model with peer_33, REQ=set,peer_33,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:17,768 | server.py:52 | PERUN REQUEST: Sharing model with peer_34, REQ=set,peer_34,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:17,909 | server.py:52 | PERUN REQUEST: Sharing model with peer_35, REQ=set,peer_35,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,052 | server.py:52 | PERUN REQUEST: Sharing model with peer_36, REQ=set,peer_36,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,202 | server.py:52 | PERUN REQUEST: Sharing model with peer_37, REQ=set,peer_37,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,346 | server.py:52 | PERUN REQUEST: Sharing model with peer_38, REQ=set,peer_38,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,511 | server.py:52 | PERUN REQUEST: Sharing model with peer_39, REQ=set,peer_39,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,646 | server.py:52 | PERUN REQUEST: Sharing model with peer_40, REQ=set,peer_40,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,784 | server.py:52 | PERUN REQUEST: Sharing model with peer_41, REQ=set,peer_41,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:18,918 | server.py:52 | PERUN REQUEST: Sharing model with peer_42, REQ=set,peer_42,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,060 | server.py:52 | PERUN REQUEST: Sharing model with peer_43, REQ=set,peer_43,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,197 | server.py:52 | PERUN REQUEST: Sharing model with peer_44, REQ=set,peer_44,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,336 | server.py:52 | PERUN REQUEST: Sharing model with peer_45, REQ=set,peer_45,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,481 | server.py:52 | PERUN REQUEST: Sharing model with peer_46, REQ=set,peer_46,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,627 | server.py:52 | PERUN REQUEST: Sharing model with peer_47, REQ=set,peer_47,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,767 | server.py:52 | PERUN REQUEST: Sharing model with peer_48, REQ=set,peer_48,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:19,905 | server.py:52 | PERUN REQUEST: Sharing model with peer_49, REQ=set,peer_49,QmSjqr8y3Bfu8n9YMaKpm6Mvfw45gNoFpenxQesakjR2Vc,1,0,0,0
FL-experiment | INFO flwr 2024-05-02 12:14:20,057 | server.py:54 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-02 12:14:20,139 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-05-02 12:14:20,149 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-05-02 12:14:20,149 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-05-02 12:14:20,149 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-05-02 12:14:38,445 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:38,447 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:38,447 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:38,454 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:38,456 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-05-02 12:14:38,456 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-05-02 12:14:38,456 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-05-02 12:14:44,589 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:44,589 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:44,590 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:44,591 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:44,845 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:44,846 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:44,846 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:44,847 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:45,119 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:45,120 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:45,121 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:45,126 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:45,675 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:45,677 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:45,681 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:46,564 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:46,566 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:46,566 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:46,570 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:46,801 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:46,802 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:46,804 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:46,804 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:47,201 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:47,202 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:47,202 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:47,203 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:47,430 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:47,430 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:47,431 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:47,432 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:48,186 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,187 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,187 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,188 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:48,378 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,379 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,379 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 12:14:48,796 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 12:14:48,799 | connection.py:42 | ChannelConnectivity.IDLE
