time: 65.44135999999999 seconds | Training client=23
time: 64.33938 seconds | Training client=9
time: 65.88539999999999 seconds | Training client=5
time: 66.05442000000001 seconds | Training client=11
time: 255.39130000000006 seconds | Aggregating round=1
time: 123.39016000000001 seconds | setting weights to the blockchain
time: 0.21459999999999999 seconds | saving aggregated model to storage (round=1)
time: 121.88840000000002 seconds | setting aggregated model to the blockchain round=1
time: 384.95439999999996 seconds | Round=2
time: 254.51639999999998 seconds | Aggregating round=2
time: 0.20869999999999997 seconds | saving aggregated model to storage (round=2)
time: 121.56209999999999 seconds | setting aggregated model to the blockchain round=2
time: 383.5089 seconds | Round=3
time: 254.00680000000003 seconds | Aggregating round=3
time: 0.21879999999999997 seconds | saving aggregated model to storage (round=3)
time: 120.94589999999998 seconds | setting aggregated model to the blockchain round=3
time: 383.99609999999996 seconds | Round=4
time: 253.6406 seconds | Aggregating round=4
time: 0.21139999999999998 seconds | saving aggregated model to storage (round=4)
time: 121.29659999999998 seconds | setting aggregated model to the blockchain round=4
time: 382.98310000000004 seconds | Round=5
time: 253.7832 seconds | Aggregating round=5
time: 0.2138 seconds | saving aggregated model to storage (round=5)
time: 121.86139999999997 seconds | setting aggregated model to the blockchain round=5
time: 385.4708 seconds | Round=6
time: 255.22569999999996 seconds | Aggregating round=6
time: 0.2197 seconds | saving aggregated model to storage (round=6)
time: 122.1194 seconds | setting aggregated model to the blockchain round=6
time: 383.0026 seconds | Round=7
time: 253.1393 seconds | Aggregating round=7
time: 0.21200000000000002 seconds | saving aggregated model to storage (round=7)
time: 120.9396 seconds | setting aggregated model to the blockchain round=7
time: 385.4516 seconds | Round=8
time: 255.2964 seconds | Aggregating round=8
time: 0.2223 seconds | saving aggregated model to storage (round=8)
time: 122.26559999999999 seconds | setting aggregated model to the blockchain round=8
time: 385.98789999999997 seconds | Round=9
time: 255.1754 seconds | Aggregating round=9
time: 0.2105 seconds | saving aggregated model to storage (round=9)
time: 121.83190000000002 seconds | setting aggregated model to the blockchain round=9
time: 384.025 seconds | Round=10
time: 254.2322 seconds | Aggregating round=10
time: 0.217 seconds | saving aggregated model to storage (round=10)
time: 121.6192 seconds | setting aggregated model to the blockchain round=10
time: 3846.9072187749 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=1,
time: 5177.8732 seconds | Experiment
time: 1070.0896 seconds | Round=1
time: 248.9293 seconds | deploying contract
time: 76.19879999999999 seconds | Training client=10
time: 69.68430000000001 seconds | Training client=40
time: 68.6104 seconds | Training client=9
time: 62.328500000000005 seconds | Training client=33
time: 75.83259999999999 seconds | Training client=26
time: 71.7458 seconds | Training client=36
time: 79.18549999999999 seconds | Training client=28
time: 76.37069999999999 seconds | Training client=32
time: 72.6359 seconds | Training client=38
time: 75.30300000000001 seconds | Training client=13
time: 75.4048 seconds | Training client=19
time: 75.54220000000001 seconds | Training client=16
time: 75.82090000000001 seconds | Training client=21
time: 74.9587 seconds | Training client=35
time: 75.40220000000001 seconds | Training client=44
time: 72.8837 seconds | Training client=15
time: 71.9156 seconds | Training client=45
time: 76.7941 seconds | Training client=14
time: 75.21589999999999 seconds | Training client=20
time: 71.9524 seconds | Training client=27
time: 75.53370000000001 seconds | Training client=12
time: 74.6491 seconds | Training client=43
time: 75.3742 seconds | Training client=48
time: 78.0197 seconds | Training client=46
time: 78.5454 seconds | Training client=5
time: 79.7412 seconds | Training client=41
time: 79.3779 seconds | Training client=31
time: 69.4676 seconds | Training client=8
time: 69.10119999999999 seconds | Training client=11
time: 79.40939999999999 seconds | Training client=2
time: 71.92510000000001 seconds | Training client=18
time: 75.0096 seconds | Training client=30
time: 75.84540000000001 seconds | Training client=3
time: 76.06309999999999 seconds | Training client=0
time: 75.0396 seconds | Training client=24
time: 75.0605 seconds | Training client=29
time: 72.66940000000001 seconds | Training client=47
time: 69.37540000000001 seconds | Training client=49
time: 68.7833 seconds | Training client=17
time: 78.3655 seconds | Training client=7
time: 75.1663 seconds | Training client=22
time: 68.5247 seconds | Training client=42
time: 72.80339999999998 seconds | Training client=25
time: 67.85 seconds | Training client=39
time: 74.8099 seconds | Training client=6
time: 69.0278 seconds | Training client=34
time: 68.4631 seconds | Training client=37
time: 64.2842 seconds | Training client=23
time: 72.7358 seconds | Training client=1
time: 71.0277 seconds | Training client=4
time: 517.9334000000001 seconds | Aggregating round=1
time: 247.897 seconds | setting weights to the blockchain
time: 0.24560000000000004 seconds | saving aggregated model to storage (round=1)
time: 248.90900000000005 seconds | setting aggregated model to the blockchain round=1
time: 804.7446951668 seconds | FL

Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=50, NUM_ROUNDS=5,
time: 4267.6627 seconds | Experiment
time: 1063.5520000000001 seconds | Round=1
time: 248.6701 seconds | deploying contract
time: 74.46568 seconds | Training client=14
time: 73.75944 seconds | Training client=48
time: 75.06216 seconds | Training client=27
time: 77.29925999999999 seconds | Training client=47
time: 75.05014 seconds | Training client=36
time: 74.63714 seconds | Training client=41
time: 73.71168 seconds | Training client=19
time: 72.536 seconds | Training client=40
time: 69.72816 seconds | Training client=20
time: 69.31262000000001 seconds | Training client=6
time: 75.10398 seconds | Training client=46
time: 74.42685999999999 seconds | Training client=42
time: 75.82396 seconds | Training client=15
time: 72.71298 seconds | Training client=17
time: 73.17254000000001 seconds | Training client=7
time: 75.29124 seconds | Training client=23
time: 76.48402 seconds | Training client=28
time: 75.3231 seconds | Training client=8
time: 74.24078 seconds | Training client=44
time: 72.73754000000001 seconds | Training client=13
time: 70.42122 seconds | Training client=39
time: 71.0684 seconds | Training client=16
time: 73.25908 seconds | Training client=49
time: 78.13723999999999 seconds | Training client=24
time: 74.14164 seconds | Training client=9
time: 75.41942 seconds | Training client=22
time: 73.16796000000001 seconds | Training client=2
time: 75.921 seconds | Training client=4
time: 72.68746 seconds | Training client=45
time: 75.25654 seconds | Training client=31
time: 75.25736 seconds | Training client=12
time: 75.0896 seconds | Training client=30
time: 76.18836 seconds | Training client=10
time: 74.34053999999999 seconds | Training client=0
time: 76.77919999999999 seconds | Training client=11
time: 74.8541 seconds | Training client=21
time: 73.27392 seconds | Training client=29
time: 69.97246 seconds | Training client=25
time: 75.83608 seconds | Training client=18
time: 73.79972 seconds | Training client=43
time: 76.1206 seconds | Training client=5
time: 67.85496 seconds | Training client=1
time: 71.61006 seconds | Training client=35
time: 73.45572000000001 seconds | Training client=26
time: 70.43983999999999 seconds | Training client=33
time: 73.23912 seconds | Training client=38
time: 70.83831999999998 seconds | Training client=3
time: 74.82758000000001 seconds | Training client=34
time: 73.21338 seconds | Training client=32
time: 74.37143999999999 seconds | Training client=37
time: 514.8379000000001 seconds | Aggregating round=1
time: 248.8136 seconds | setting weights to the blockchain
time: 0.23349999999999999 seconds | saving aggregated model to storage (round=1)
time: 246.7835 seconds | setting aggregated model to the blockchain round=1
time: 796.6927 seconds | Round=2
time: 515.7097 seconds | Aggregating round=2
time: 0.2307 seconds | saving aggregated model to storage (round=2)
time: 246.22779999999997 seconds | setting aggregated model to the blockchain round=2
time: 802.2586 seconds | Round=3
time: 516.1551999999999 seconds | Aggregating round=3
time: 0.23380000000000006 seconds | saving aggregated model to storage (round=3)
time: 247.6159 seconds | setting aggregated model to the blockchain round=3
time: 797.6403 seconds | Round=4
time: 515.4451000000001 seconds | Aggregating round=4
time: 0.23159999999999997 seconds | saving aggregated model to storage (round=4)
time: 246.83709999999996 seconds | setting aggregated model to the blockchain round=4
time: 800.3113999999999 seconds | Round=5
time: 516.4008 seconds | Aggregating round=5
time: 0.23520000000000002 seconds | saving aggregated model to storage (round=5)
time: 247.63979999999998 seconds | setting aggregated model to the blockchain round=5
time: 3993.8229960956996 seconds | FL

