Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=1,
time: 63.25419000000001 seconds | Training client=23
time: 76.48635999999999 seconds | Training client=17
time: 9.139 seconds | Aggregating round=1
time: 142.9565 seconds | Round=2
time: 9.1196 seconds | Aggregating round=2
time: 142.9169 seconds | Round=3
time: 9.2942 seconds | Aggregating round=3
time: 142.46480000000003 seconds | Round=4
time: 9.1539 seconds | Aggregating round=4
time: 139.3146 seconds | Round=5
time: 8.9295 seconds | Aggregating round=5
time: 133.5917 seconds | Round=6
time: 9.243399999999998 seconds | Aggregating round=6
time: 131.3148 seconds | Round=7
time: 9.465300000000001 seconds | Aggregating round=7
time: 127.76199999999999 seconds | Round=8
time: 9.2807 seconds | Aggregating round=8
time: 123.67280000000001 seconds | Round=9
time: 8.759800000000002 seconds | Aggregating round=9
time: 117.39770000000001 seconds | Round=10
time: 8.6216 seconds | Aggregating round=10
time: 1348.1248733748998 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=50, NUM_ROUNDS=1,
time: 628.7301 seconds | Experiment
time: 335.43179999999995 seconds | Round=1
time: 76.28639999999999 seconds | Training client=29
time: 86.0335 seconds | Training client=18
time: 74.19839999999999 seconds | Training client=5
time: 74.715 seconds | Training client=24
time: 77.0355 seconds | Training client=10
time: 79.67830000000001 seconds | Training client=7
time: 77.5154 seconds | Training client=8
time: 66.5094 seconds | Training client=32
time: 77.4679 seconds | Training client=17
time: 79.78739999999999 seconds | Training client=2
time: 79.25549999999998 seconds | Training client=27
time: 73.1994 seconds | Training client=43
time: 69.12809999999999 seconds | Training client=44
time: 68.9503 seconds | Training client=47
time: 77.68789999999998 seconds | Training client=38
time: 81.96940000000001 seconds | Training client=36
time: 83.7952 seconds | Training client=48
time: 84.8037 seconds | Training client=15
time: 70.679 seconds | Training client=19
time: 77.1886 seconds | Training client=30
time: 67.8771 seconds | Training client=37
time: 80.96969999999999 seconds | Training client=1
time: 79.74440000000001 seconds | Training client=45
time: 79.55109999999999 seconds | Training client=39
time: 77.8838 seconds | Training client=6
time: 73.8553 seconds | Training client=41
time: 76.32480000000001 seconds | Training client=11
time: 77.3877 seconds | Training client=23
time: 85.8092 seconds | Training client=25
time: 71.946 seconds | Training client=3
time: 79.2838 seconds | Training client=20
time: 77.0082 seconds | Training client=35
time: 86.1916 seconds | Training client=34
time: 78.4238 seconds | Training client=21
time: 84.947 seconds | Training client=16
time: 62.581999999999994 seconds | Training client=40
time: 79.51240000000001 seconds | Training client=46
time: 66.33829999999999 seconds | Training client=28
time: 69.4838 seconds | Training client=22
time: 72.03649999999999 seconds | Training client=9
time: 80.8026 seconds | Training client=49
time: 84.80749999999999 seconds | Training client=31
time: 72.8723 seconds | Training client=42
time: 72.42580000000001 seconds | Training client=12
time: 66.68260000000001 seconds | Training client=4
time: 79.77950000000001 seconds | Training client=0
time: 74.98830000000001 seconds | Training client=13
time: 76.9272 seconds | Training client=26
time: 69.7184 seconds | Training client=33
time: 78.39779999999999 seconds | Training client=14
time: 20.869699999999998 seconds | Aggregating round=1
time: 317.72085568759996 seconds | FL

Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=50, NUM_ROUNDS=5,
time: 1508.2252999999998 seconds | Experiment
time: 346.94989999999996 seconds | Round=1
time: 73.57485999999999 seconds | Training client=31
time: 69.07589999999999 seconds | Training client=1
time: 78.84602 seconds | Training client=19
