FL-experiment | INFO flwr 2024-05-02 22:59:49,485 | server.py:52 | PERUN REQUEST: Sharing model with peer_37, REQ=set,peer_37,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:49,644 | server.py:52 | PERUN REQUEST: Sharing model with peer_38, REQ=set,peer_38,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:49,796 | server.py:52 | PERUN REQUEST: Sharing model with peer_39, REQ=set,peer_39,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:49,944 | server.py:52 | PERUN REQUEST: Sharing model with peer_40, REQ=set,peer_40,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,094 | server.py:52 | PERUN REQUEST: Sharing model with peer_41, REQ=set,peer_41,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,238 | server.py:52 | PERUN REQUEST: Sharing model with peer_42, REQ=set,peer_42,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,385 | server.py:52 | PERUN REQUEST: Sharing model with peer_43, REQ=set,peer_43,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,532 | server.py:52 | PERUN REQUEST: Sharing model with peer_44, REQ=set,peer_44,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,683 | server.py:52 | PERUN REQUEST: Sharing model with peer_45, REQ=set,peer_45,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,827 | server.py:52 | PERUN REQUEST: Sharing model with peer_46, REQ=set,peer_46,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:50,973 | server.py:52 | PERUN REQUEST: Sharing model with peer_47, REQ=set,peer_47,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:51,117 | server.py:52 | PERUN REQUEST: Sharing model with peer_48, REQ=set,peer_48,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:51,265 | server.py:52 | PERUN REQUEST: Sharing model with peer_49, REQ=set,peer_49,Qme1XQPQWHgBZhoF7Utw5o3pkxvtLgmuwXPyRuiQ9Rsdv5,5,0,0,0
FL-experiment | INFO flwr 2024-05-02 22:59:51,417 | server.py:54 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-05-02 22:59:51,418 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-05-02 22:59:51,438 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-05-02 22:59:51,439 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-05-02 22:59:51,439 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-05-02 23:00:02,364 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-05-02 23:00:02,364 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-05-02 23:00:02,365 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-05-02 23:00:02,365 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-05-02 23:00:02,376 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-05-02 23:00:02,376 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-05-02 23:00:02,376 | server.py:104 | FL starting
