FL-experiment | INFO flwr 2024-03-07 04:01:04,863 | client.py:144 | Done sending updated weights to the perun node (client=8)
FL-experiment | INFO flwr 2024-03-07 04:01:04,863 | client.py:147 | Done Training client=8
FL-experiment | DEBUG flwr 2024-03-07 04:01:04,985 | client.py:137 | File: storage/updated_weights_1_f174a27c-916c-4cc8-8ed8-13728e953a61.pkl IPFS file hash: QmWZoV7CSM5fqadDWBJ4BmZqr2VgCYRLVvhvWRzjAbqJAB
FL-experiment | INFO flwr 2024-03-07 04:01:04,985 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-07 04:01:04,985 | client.py:142 | PERUN REQUEST: Setting weight client=1, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:04,991 | client.py:144 | Done sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-07 04:01:04,991 | client.py:147 | Done Training client=1
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,074 | client.py:137 | File: storage/updated_weights_9_26e5df9c-953f-4d4f-9eb5-f7f5a48de772.pkl IPFS file hash: QmVaixFywgv2ou7iGx5LGEJnrPScomoCuaa4hSca7sLYgh
FL-experiment | INFO flwr 2024-03-07 04:01:05,074 | client.py:139 | Start sending updated weights to the perun node (client=9)
FL-experiment | INFO flwr 2024-03-07 04:01:05,074 | client.py:142 | PERUN REQUEST: Setting weight client=9, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:05,084 | client.py:144 | Done sending updated weights to the perun node (client=9)
FL-experiment | INFO flwr 2024-03-07 04:01:05,084 | client.py:147 | Done Training client=9
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,093 | client.py:137 | File: storage/updated_weights_3_1ed1b158-0ea2-4689-8221-a7dbd5e345cf.pkl IPFS file hash: QmV1H2jWpDSmdz7LWrBzLN3jiausCN3eQWhJ46oK12DeAe
FL-experiment | INFO flwr 2024-03-07 04:01:05,093 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-07 04:01:05,093 | client.py:142 | PERUN REQUEST: Setting weight client=3, REQ=set,peer_10,1,1,10,0,0
FL-experiment | INFO flwr 2024-03-07 04:01:05,098 | client.py:144 | Done sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-07 04:01:05,098 | client.py:147 | Done Training client=3
FL-experiment | DEBUG flwr 2024-03-07 04:01:05,162 | client.py:137 | File: storage/updated_weights_5_c4ebe4db-70bc-4065-a6e3-97bdcb6d6f38.pkl IPFS file hash: QmTB1FVshbVm3T1gd2Z9r8fdnrJDQUHyFqyD4fupu2b8hq
FL-experiment | INFO flwr 2024-03-07 04:01:05,162 | client.py:139 | Start sending updated weights to the perun node (client=5)
FL-experiment | INFO flwr 2024-03-07 04:01:05,162 | client.py:142 | PERUN REQUEST: Setting weight client=5, REQ=set,peer_10,1,1,10,0,0
