FL-experiment | DEBUG flwr 2024-03-04 13:31:32,341 | server.py:222 | fit_round 2: strategy sampled 10 clients (out of 10)
FL-experiment | INFO flwr 2024-03-04 13:31:32,343 | client.py:126 | Start Training client=6
FL-experiment | INFO flwr 2024-03-04 13:31:32,344 | client.py:126 | Start Training client=8
FL-experiment | INFO flwr 2024-03-04 13:31:32,344 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-04 13:31:32,344 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-04 13:31:32,345 | client.py:126 | Start Training client=7
FL-experiment | INFO flwr 2024-03-04 13:31:32,345 | client.py:126 | Start Training client=9
FL-experiment | INFO flwr 2024-03-04 13:31:32,345 | client.py:126 | Start Training client=5
FL-experiment | INFO flwr 2024-03-04 13:31:32,346 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-04 13:31:32,346 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-04 13:31:32,348 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-04 13:32:21,386 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-04 13:32:21,386 | client.py:147 | Done Training client=0
FL-experiment | INFO flwr 2024-03-04 13:32:21,764 | client.py:139 | Start sending updated weights to the perun node (client=9)
FL-experiment | INFO flwr 2024-03-04 13:32:21,764 | client.py:147 | Done Training client=9
FL-experiment | INFO flwr 2024-03-04 13:32:21,893 | client.py:139 | Start sending updated weights to the perun node (client=7)
FL-experiment | INFO flwr 2024-03-04 13:32:21,894 | client.py:147 | Done Training client=7
FL-experiment | INFO flwr 2024-03-04 13:32:21,954 | client.py:139 | Start sending updated weights to the perun node (client=5)
FL-experiment | INFO flwr 2024-03-04 13:32:21,954 | client.py:147 | Done Training client=5
FL-experiment | INFO flwr 2024-03-04 13:32:22,104 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-04 13:32:22,105 | client.py:147 | Done Training client=3
FL-experiment | INFO flwr 2024-03-04 13:32:22,171 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-04 13:32:22,171 | client.py:147 | Done Training client=4
FL-experiment | INFO flwr 2024-03-04 13:32:22,208 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-04 13:32:22,209 | client.py:147 | Done Training client=2
FL-experiment | INFO flwr 2024-03-04 13:32:22,245 | client.py:139 | Start sending updated weights to the perun node (client=6)
FL-experiment | INFO flwr 2024-03-04 13:32:22,245 | client.py:147 | Done Training client=6
FL-experiment | INFO flwr 2024-03-04 13:32:22,348 | client.py:139 | Start sending updated weights to the perun node (client=8)
FL-experiment | INFO flwr 2024-03-04 13:32:22,348 | client.py:147 | Done Training client=8
FL-experiment | INFO flwr 2024-03-04 13:32:22,462 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-04 13:32:22,462 | client.py:147 | Done Training client=1
FL-experiment | DEBUG flwr 2024-03-04 13:32:22,463 | server.py:236 | fit_round 2 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:32:22,463 | server.py:52 | Start Aggregating round=2
FL-experiment | DEBUG flwr 2024-03-04 13:32:22,472 | server.py:173 | evaluate_round 2: strategy sampled 10 clients (out of 10)
FL-experiment | DEBUG flwr 2024-03-04 13:32:25,967 | server.py:187 | evaluate_round 2 received 10 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:32:25,967 | server.py:77 | Start evaluating fit round=2
FL-experiment | INFO flwr 2024-03-04 13:32:25,967 | server.py:79 | Done Evaluating fit round=2
FL-experiment | DEBUG flwr 2024-03-04 13:32:25,967 | server.py:80 | Round: 2, Aggregated accuracy: {'accuracy': 0.31548}, Aggregated loss: 596.5643859863281, IPFS hash: storage/aggregated_model_26d0bbfb-b12e-47c3-b103-92ac07d77a96.pkl
FL-experiment | INFO flwr 2024-03-04 13:32:25,967 | server.py:95 | Done Aggregating round=2
FL-experiment | INFO flwr 2024-03-04 13:32:25,967 | server.py:96 | Done Round=2
FL-experiment | INFO flwr 2024-03-04 13:32:25,967 | server.py:98 | Start Round=3
FL-experiment | DEBUG flwr 2024-03-04 13:32:25,967 | server.py:222 | fit_round 3: strategy sampled 10 clients (out of 10)
FL-experiment | INFO flwr 2024-03-04 13:32:25,970 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-04 13:32:25,970 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-04 13:32:25,970 | client.py:126 | Start Training client=7
FL-experiment | INFO flwr 2024-03-04 13:32:25,971 | client.py:126 | Start Training client=5
FL-experiment | INFO flwr 2024-03-04 13:32:25,972 | client.py:126 | Start Training client=6
FL-experiment | INFO flwr 2024-03-04 13:32:25,972 | client.py:126 | Start Training client=8
FL-experiment | INFO flwr 2024-03-04 13:32:25,973 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-04 13:32:25,973 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-04 13:32:25,977 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-04 13:32:26,023 | client.py:126 | Start Training client=9
FL-experiment | INFO flwr 2024-03-04 13:33:16,333 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-04 13:33:16,333 | client.py:147 | Done Training client=0
FL-experiment | INFO flwr 2024-03-04 13:33:16,583 | client.py:139 | Start sending updated weights to the perun node (client=5)
