FL-experiment | DEBUG flwr 2024-04-24 11:49:27,734 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:27,736 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-24 11:49:36,906 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-24 11:49:36,907 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-24 11:49:36,908 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-24 11:49:36,908 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-24 11:49:36,909 | server.py:222 | fit_round 1: strategy sampled 25 clients (out of 25)
FL-experiment | INFO flwr 2024-04-24 11:49:36,912 | client.py:128 | Start Training client=14
FL-experiment | INFO flwr 2024-04-24 11:49:36,912 | client.py:128 | Start Training client=21
FL-experiment | INFO flwr 2024-04-24 11:49:36,912 | client.py:128 | Start Training client=12
FL-experiment | INFO flwr 2024-04-24 11:49:36,913 | client.py:128 | Start Training client=10
FL-experiment | INFO flwr 2024-04-24 11:49:36,913 | client.py:128 | Start Training client=24
FL-experiment | INFO flwr 2024-04-24 11:49:36,914 | client.py:128 | Start Training client=13
FL-experiment | INFO flwr 2024-04-24 11:49:36,915 | client.py:128 | Start Training client=15
FL-experiment | INFO flwr 2024-04-24 11:49:36,916 | client.py:128 | Start Training client=18
FL-experiment | INFO flwr 2024-04-24 11:49:36,916 | client.py:128 | Start Training client=8
FL-experiment | INFO flwr 2024-04-24 11:49:36,919 | client.py:128 | Start Training client=3
FL-experiment | INFO flwr 2024-04-24 11:49:36,919 | client.py:128 | Start Training client=5
FL-experiment | INFO flwr 2024-04-24 11:49:36,920 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-24 11:49:36,920 | client.py:128 | Start Training client=2
FL-experiment | INFO flwr 2024-04-24 11:49:36,921 | client.py:128 | Start Training client=22
FL-experiment | INFO flwr 2024-04-24 11:50:17,388 | client.py:149 | Done Training client=3
FL-experiment | INFO flwr 2024-04-24 11:50:17,393 | client.py:128 | Start Training client=6
FL-experiment | INFO flwr 2024-04-24 11:50:17,431 | client.py:149 | Done Training client=8
FL-experiment | INFO flwr 2024-04-24 11:50:17,436 | client.py:128 | Start Training client=9
FL-experiment | INFO flwr 2024-04-24 11:51:02,639 | client.py:149 | Done Training client=12
FL-experiment | INFO flwr 2024-04-24 11:51:02,644 | client.py:128 | Start Training client=11
FL-experiment | INFO flwr 2024-04-24 11:51:02,799 | client.py:149 | Done Training client=21
FL-experiment | INFO flwr 2024-04-24 11:51:02,804 | client.py:128 | Start Training client=7
FL-experiment | INFO flwr 2024-04-24 11:51:02,818 | client.py:149 | Done Training client=18
FL-experiment | INFO flwr 2024-04-24 11:51:02,822 | client.py:128 | Start Training client=19
FL-experiment | INFO flwr 2024-04-24 11:51:02,982 | client.py:149 | Done Training client=2
FL-experiment | INFO flwr 2024-04-24 11:51:02,987 | client.py:128 | Start Training client=16
FL-experiment | INFO flwr 2024-04-24 11:51:03,066 | client.py:149 | Done Training client=24
FL-experiment | INFO flwr 2024-04-24 11:51:03,070 | client.py:128 | Start Training client=4
FL-experiment | INFO flwr 2024-04-24 11:51:03,198 | client.py:149 | Done Training client=10
FL-experiment | INFO flwr 2024-04-24 11:51:03,203 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-24 11:51:03,246 | client.py:149 | Done Training client=15
FL-experiment | INFO flwr 2024-04-24 11:51:03,251 | client.py:128 | Start Training client=20
FL-experiment | INFO flwr 2024-04-24 11:51:03,394 | client.py:149 | Done Training client=5
FL-experiment | INFO flwr 2024-04-24 11:51:03,399 | client.py:128 | Start Training client=23
FL-experiment | INFO flwr 2024-04-24 11:51:03,646 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-24 11:51:03,650 | client.py:128 | Start Training client=17
FL-experiment | INFO flwr 2024-04-24 11:51:03,863 | client.py:149 | Done Training client=14
FL-experiment | INFO flwr 2024-04-24 11:51:03,960 | client.py:149 | Done Training client=22
FL-experiment | INFO flwr 2024-04-24 11:51:03,990 | client.py:149 | Done Training client=13
FL-experiment | INFO flwr 2024-04-24 11:51:26,964 | client.py:149 | Done Training client=9
FL-experiment | INFO flwr 2024-04-24 11:51:27,067 | client.py:149 | Done Training client=6
FL-experiment | INFO flwr 2024-04-24 11:51:52,308 | client.py:149 | Done Training client=4
FL-experiment | INFO flwr 2024-04-24 11:51:52,670 | client.py:149 | Done Training client=23
FL-experiment | INFO flwr 2024-04-24 11:51:52,754 | client.py:149 | Done Training client=16
FL-experiment | INFO flwr 2024-04-24 11:51:52,774 | client.py:149 | Done Training client=7
FL-experiment | INFO flwr 2024-04-24 11:51:52,909 | client.py:149 | Done Training client=11
FL-experiment | INFO flwr 2024-04-24 11:51:53,003 | client.py:149 | Done Training client=20
FL-experiment | INFO flwr 2024-04-24 11:51:53,038 | client.py:149 | Done Training client=17
FL-experiment | INFO flwr 2024-04-24 11:51:53,118 | client.py:149 | Done Training client=0
FL-experiment | INFO flwr 2024-04-24 11:51:53,226 | client.py:149 | Done Training client=19
FL-experiment | DEBUG flwr 2024-04-24 11:51:53,228 | server.py:236 | fit_round 1 received 25 results and 0 failures
FL-experiment | INFO flwr 2024-04-24 11:51:53,228 | server.py:65 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-04-24 11:51:53,250 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | DEBUG flwr 2024-04-24 11:51:53,250 | server.py:173 | evaluate_round 1: strategy sampled 25 clients (out of 25)
FL-experiment | DEBUG flwr 2024-04-24 11:52:03,342 | server.py:187 | evaluate_round 1 received 25 results and 0 failures
FL-experiment | INFO flwr 2024-04-24 11:52:03,343 | server.py:105 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-04-24 11:52:03,343 | server.py:107 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-04-24 11:52:03,343 | server.py:108 | Round: 1, Aggregated accuracy: {'accuracy': 0.242964}, Aggregated loss: 652.466220703125, IPFS hash: storage/aggregated_model_bbfcbf2e-f262-4aa9-852c-f87ddbbd365b.pkl
FL-experiment | INFO flwr 2024-04-24 11:52:03,343 | server.py:131 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-04-24 11:52:03,343 | server.py:132 | Done Round=1
FL-experiment | INFO flwr 2024-04-24 11:52:03,343 | server.py:134 | Start Round=2
FL-experiment | DEBUG flwr 2024-04-24 11:52:03,343 | server.py:222 | fit_round 2: strategy sampled 25 clients (out of 25)
FL-experiment | INFO flwr 2024-04-24 11:52:03,346 | client.py:128 | Start Training client=4
FL-experiment | INFO flwr 2024-04-24 11:52:03,347 | client.py:128 | Start Training client=21
FL-experiment | INFO flwr 2024-04-24 11:52:03,346 | client.py:128 | Start Training client=19
FL-experiment | INFO flwr 2024-04-24 11:52:03,349 | client.py:128 | Start Training client=17
FL-experiment | INFO flwr 2024-04-24 11:52:03,349 | client.py:128 | Start Training client=2
FL-experiment | INFO flwr 2024-04-24 11:52:03,350 | client.py:128 | Start Training client=7
FL-experiment | INFO flwr 2024-04-24 11:52:03,351 | client.py:128 | Start Training client=18
FL-experiment | INFO flwr 2024-04-24 11:52:03,352 | client.py:128 | Start Training client=10
FL-experiment | INFO flwr 2024-04-24 11:52:03,352 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-24 11:52:03,353 | client.py:128 | Start Training client=6
FL-experiment | INFO flwr 2024-04-24 11:52:03,353 | client.py:128 | Start Training client=12
FL-experiment | INFO flwr 2024-04-24 11:52:03,354 | client.py:128 | Start Training client=8
FL-experiment | INFO flwr 2024-04-24 11:52:03,355 | client.py:128 | Start Training client=20
FL-experiment | INFO flwr 2024-04-24 11:52:03,355 | client.py:128 | Start Training client=23
FL-experiment | INFO flwr 2024-04-24 11:52:35,620 | client.py:149 | Done Training client=8
FL-experiment | INFO flwr 2024-04-24 11:52:35,626 | client.py:128 | Start Training client=5
FL-experiment | INFO flwr 2024-04-24 11:52:35,674 | client.py:149 | Done Training client=6
FL-experiment | INFO flwr 2024-04-24 11:52:35,678 | client.py:128 | Start Training client=14
FL-experiment | INFO flwr 2024-04-24 11:52:35,801 | client.py:149 | Done Training client=10
FL-experiment | INFO flwr 2024-04-24 11:52:35,805 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-24 11:53:31,311 | client.py:149 | Done Training client=20
FL-experiment | INFO flwr 2024-04-24 11:53:31,316 | client.py:128 | Start Training client=22
FL-experiment | INFO flwr 2024-04-24 11:53:32,199 | client.py:149 | Done Training client=2
FL-experiment | INFO flwr 2024-04-24 11:53:32,203 | client.py:128 | Start Training client=24
FL-experiment | INFO flwr 2024-04-24 11:53:32,236 | client.py:149 | Done Training client=23
FL-experiment | INFO flwr 2024-04-24 11:53:32,240 | client.py:128 | Start Training client=3
FL-experiment | INFO flwr 2024-04-24 11:53:32,279 | client.py:149 | Done Training client=4
FL-experiment | INFO flwr 2024-04-24 11:53:32,284 | client.py:128 | Start Training client=16
FL-experiment | INFO flwr 2024-04-24 11:53:32,284 | client.py:149 | Done Training client=18
FL-experiment | INFO flwr 2024-04-24 11:53:32,287 | client.py:128 | Start Training client=15
FL-experiment | INFO flwr 2024-04-24 11:53:32,872 | client.py:149 | Done Training client=17
FL-experiment | INFO flwr 2024-04-24 11:53:32,876 | client.py:128 | Start Training client=9
FL-experiment | INFO flwr 2024-04-24 11:53:32,877 | client.py:149 | Done Training client=12
FL-experiment | INFO flwr 2024-04-24 11:53:32,881 | client.py:128 | Start Training client=11
FL-experiment | INFO flwr 2024-04-24 11:53:32,893 | client.py:149 | Done Training client=7
